id,artist_name,song_title,lyrics,parent_id,chunk_order,primary_emotion,secondary_emotion,tertiary_emotion,classification_result
The Script|||Hall of Fame|||0|||0,The Script,Hall of Fame,"```
<Artist name> The Script <\Artist>
<Song title> Hall of Fame <\Song title>
<Lyric> 
Yeah, you can be the greatest, you can be the best
You can be the King Kong bangin' on your chest
You can beat the world, you can beat the war
You can talk to God, go bangin' on his door
You can throw your hands up, you can beat the clock (Yeah)
You can move a mountain, you can break rocks
You can be a master, don't wait for luck
Dedicate yourself and you gon' find yourself",The Script|||Hall of Fame|||0,0,optimism,approval,admiration,"[{'label': 'optimism', 'score': 0.41767793893814087}, {'label': 'approval', 'score': 0.4012477397918701}, {'label': 'admiration', 'score': 0.2606824040412903}, {'label': 'neutral', 'score': 0.11339597404003143}, {'label': 'caring', 'score': 0.04159492626786232}, {'label': 'desire', 'score': 0.016724757850170135}]"
The Script|||Hall of Fame|||0|||1,The Script,Hall of Fame,"Standin' in the Hall of Fame (Yeah)
And the world's gonna know your name (Yeah)
'Cause you burn with the brightest flame (Yeah)
And the world's gonna know your name (Yeah)
And you'll be on the walls of the Hall of Fame",The Script|||Hall of Fame|||0,1,approval,admiration,excitement,"[{'label': 'neutral', 'score': 0.8977643847465515}, {'label': 'approval', 'score': 0.05273105949163437}, {'label': 'admiration', 'score': 0.042150937020778656}, {'label': 'excitement', 'score': 0.016276270151138306}, {'label': 'realization', 'score': 0.008557667955756187}, {'label': 'joy', 'score': 0.006893106736242771}]"
The Script|||Hall of Fame|||0|||2,The Script,Hall of Fame,"You can go the distance, you can run the mile
You can walk straight through hell with a smile
You can be the hero, you can get the gold
Breakin' all the records they thought never could be broke, yeah
Do it for your people, do it for your pride
How are you ever gonna know if you never even try?
Do it for your country, do it for your name
'Cause there's gon' be a day, when you're",The Script|||Hall of Fame|||0,2,optimism,approval,caring,"[{'label': 'optimism', 'score': 0.3694100081920624}, {'label': 'approval', 'score': 0.3394833505153656}, {'label': 'neutral', 'score': 0.23339618742465973}, {'label': 'caring', 'score': 0.08730335533618927}, {'label': 'admiration', 'score': 0.07323695719242096}, {'label': 'curiosity', 'score': 0.062199633568525314}]"
The Script|||Hall of Fame|||0|||3,The Script,Hall of Fame,"Be a champion
Be a champion
Be a champion
Be a champion
And you'll be on the walls of the Hall of Fame",The Script|||Hall of Fame|||0,3,approval,admiration,optimism,"[{'label': 'neutral', 'score': 0.7492576837539673}, {'label': 'approval', 'score': 0.06332111358642578}, {'label': 'admiration', 'score': 0.05806257575750351}, {'label': 'optimism', 'score': 0.04319391027092934}, {'label': 'excitement', 'score': 0.02747756615281105}, {'label': 'annoyance', 'score': 0.016078762710094452}]"
The Script|||Hall of Fame|||0|||4,The Script,Hall of Fame,"Be students, be teachers
Be politicians, be preachers
Yeah
Be believers, be leaders
Be astronauts, be champions
Be truth-seekers
Be students, be teachers
Be politicians, be preachers
Yeah
Be believers, be leaders
Be astronauts, be champions",The Script|||Hall of Fame|||0,4,approval,annoyance,realization,"[{'label': 'neutral', 'score': 0.8878575563430786}, {'label': 'approval', 'score': 0.11234971135854721}, {'label': 'annoyance', 'score': 0.0177514236420393}, {'label': 'realization', 'score': 0.00782519020140171}, {'label': 'optimism', 'score': 0.005269506014883518}, {'label': 'disapproval', 'score': 0.0037260730750858784}]"
The Script|||Hall of Fame|||0|||5,The Script,Hall of Fame,"You can be the greatest, you can be the best
(Be a champion)
You can be the King Kong bangin' on your chest
(You can be a champion)
You can beat the world, you can beat the war
(Be a champion)
You can talk to God, go bangin' on his door
(You can be a champion)
You can throw your hands up, you can beat the clock
(You can be a champion)
You can move a mountain, you can break rocks
(You can be a champion)
You can be a master, don't wait for luck
(You can be a champion)
Dedicate yourself and you gon' find yourself
(You can be a champion)
Standing in the Hall of Fame…
<\Lyric>```",The Script|||Hall of Fame|||0,5,optimism,approval,admiration,"[{'label': 'optimism', 'score': 0.3682316541671753}, {'label': 'approval', 'score': 0.2729281187057495}, {'label': 'neutral', 'score': 0.22922825813293457}, {'label': 'admiration', 'score': 0.15987232327461243}, {'label': 'caring', 'score': 0.040214985609054565}, {'label': 'excitement', 'score': 0.024835018441081047}]"
The Script|||Breakeven|||1|||0,The Script,Breakeven,"```
<Artist name> The Script <\Artist>
<Song title> Breakeven <\Song title>
<Lyric> 
I'm still alive, but I'm barely breathing
Just praying to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks, no, it don't break even",The Script|||Breakeven|||1,0,desire,disapproval,caring,"[{'label': 'neutral', 'score': 0.359100878238678}, {'label': 'desire', 'score': 0.22077864408493042}, {'label': 'disapproval', 'score': 0.18923808634281158}, {'label': 'caring', 'score': 0.13344143331050873}, {'label': 'optimism', 'score': 0.07318847626447678}, {'label': 'annoyance', 'score': 0.04610515758395195}]"
The Script|||Breakeven|||1|||1,The Script,Breakeven,"Her best days will be some of my worst
She finally met a man that's gonna put her first
While I'm wide awake, she's no trouble sleeping
'Cause when a heart breaks, no, it don't break even, even, no",The Script|||Breakeven|||1,1,disappointment,sadness,optimism,"[{'label': 'neutral', 'score': 0.1784452646970749}, {'label': 'disappointment', 'score': 0.10566756129264832}, {'label': 'sadness', 'score': 0.10131578892469406}, {'label': 'optimism', 'score': 0.06052425131201744}, {'label': 'approval', 'score': 0.03410432115197182}, {'label': 'annoyance', 'score': 0.03361531347036362}]"
The Script|||Breakeven|||1|||2,The Script,Breakeven,"What am I supposed to do when the best part of me was always you?
And what am I supposed to say when I'm all choked up and you're okay?
I'm falling to pieces, yeah
I'm falling to pieces",The Script|||Breakeven|||1,2,sadness,curiosity,disappointment,"[{'label': 'sadness', 'score': 0.6636092662811279}, {'label': 'curiosity', 'score': 0.283951997756958}, {'label': 'disappointment', 'score': 0.20910930633544922}, {'label': 'confusion', 'score': 0.19105583429336548}, {'label': 'neutral', 'score': 0.07785730808973312}, {'label': 'nervousness', 'score': 0.04676981642842293}]"
The Script|||Breakeven|||1|||3,The Script,Breakeven,"They say bad things happen for a reason
But no wise words gon' stop the bleeding
'Cause she's moved on while I'm still grieving
And when a heart breaks, no, it don't break even, even, even, no",The Script|||Breakeven|||1,3,sadness,disappointment,disapproval,"[{'label': 'neutral', 'score': 0.47602954506874084}, {'label': 'sadness', 'score': 0.42214035987854004}, {'label': 'disappointment', 'score': 0.08781077712774277}, {'label': 'disapproval', 'score': 0.07109517604112625}, {'label': 'realization', 'score': 0.03775261342525482}, {'label': 'approval', 'score': 0.022051963955163956}]"
