id,artist_name,song_title,lyrics,parent_id,chunk_order,primary_emotion,secondary_emotion,tertiary_emotion,classification_result
Post Malone|||​​rockstar|||0|||0,Post Malone,​​rockstar,"```
<Artist name> Post Malone <\Artist>
<Song title> ​​rockstar <\Song title>
<Lyric> 
Hahahahaha
Tank God
Ayy, ayy",Post Malone|||​​rockstar|||0,0,amusement,joy,admiration,"[{'label': 'amusement', 'score': 0.9305101037025452}, {'label': 'joy', 'score': 0.08564481139183044}, {'label': 'neutral', 'score': 0.024759415537118912}, {'label': 'admiration', 'score': 0.017994064837694168}, {'label': 'approval', 'score': 0.010134021751582623}, {'label': 'love', 'score': 0.008274535648524761}]"
Post Malone|||​​rockstar|||0|||1,Post Malone,​​rockstar,"I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, pow, pow, pow, ayy, ayy)",Post Malone|||​​rockstar|||0,1,annoyance,anger,amusement,"[{'label': 'neutral', 'score': 0.7469851970672607}, {'label': 'annoyance', 'score': 0.0730697438120842}, {'label': 'anger', 'score': 0.035477764904499054}, {'label': 'amusement', 'score': 0.03427532687783241}, {'label': 'excitement', 'score': 0.02980332262814045}, {'label': 'joy', 'score': 0.02108282968401909}]"
Post Malone|||​​rockstar|||0|||2,Post Malone,​​rockstar,"Switch my whip, came back in black
I'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy)
Close that door, we blowin' smoke
She ask me light a fire like I'm Morrison ('Son, ayy)
Act a fool on stage
Prolly leave my fuckin' show in a cop car (Car, ayy)
Shit was legendary
Threw a TV out the window of the Montage
Cocaine on the table, liquor pourin', don't give a damn
Dude, your girlfriend is a groupie, she just tryna get in
Sayin', ""I'm with the band"" (Ayy, ayy)
Now she actin' outta pocket, tryna grab up on my pants
Hundred bitches in my trailer say they ain't got a man
And they all brought a friend (Yeah, ayy, ayy, ayy)",Post Malone|||​​rockstar|||0,2,anger,annoyance,disgust,"[{'label': 'neutral', 'score': 0.4826503098011017}, {'label': 'anger', 'score': 0.29534080624580383}, {'label': 'annoyance', 'score': 0.241497203707695}, {'label': 'disgust', 'score': 0.01953158527612686}, {'label': 'disappointment', 'score': 0.011283503845334053}, {'label': 'amusement', 'score': 0.00954622495919466}]"
Post Malone|||​​rockstar|||0|||3,Post Malone,​​rockstar,"I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, pow, pow, pow)",Post Malone|||​​rockstar|||0,3,annoyance,anger,amusement,"[{'label': 'neutral', 'score': 0.7476386427879333}, {'label': 'annoyance', 'score': 0.07172081619501114}, {'label': 'anger', 'score': 0.036814432591199875}, {'label': 'amusement', 'score': 0.03331514447927475}, {'label': 'excitement', 'score': 0.029817285016179085}, {'label': 'joy', 'score': 0.021024946123361588}]"
Post Malone|||​​rockstar|||0|||4,Post Malone,​​rockstar,"I've been in the Hills fuckin' superstars
Feelin' like a popstar (21, 21, 21)
Drankin' Henny, bad bitches jumpin' in the pool
And they ain't got on no bra (Bra)
Hit her from the back, pullin' on her tracks
And now she screamin' out, ""¡No más!"" (Yeah, yeah, yeah)
They like, ""Savage, why you got a twelve car garage
And you only got six cars?"" (21)
I ain't with the cakin', how you kiss that? (Kiss that?)
Your wifey say I'm lookin' like a whole snack (Big snack)
Green hundreds in my safe, I got old racks (Old racks)
L.A. bitches always askin', ""Where the coke at?"" (21, 21)
Livin' like a rockstar, smash out on a cop car
Sweeter than a Pop-Tart, you know you are not hard
I done made the hot chart, 'member I used to trap hard
Livin' like a rockstar, I'm livin' like a rockstar (Ayy)",Post Malone|||​​rockstar|||0,4,annoyance,amusement,approval,"[{'label': 'neutral', 'score': 0.9042130708694458}, {'label': 'annoyance', 'score': 0.02487470954656601}, {'label': 'amusement', 'score': 0.014114946126937866}, {'label': 'approval', 'score': 0.013373029418289661}, {'label': 'excitement', 'score': 0.01087276078760624}, {'label': 'anger', 'score': 0.010111852549016476}]"
Post Malone|||​​rockstar|||0|||5,Post Malone,​​rockstar,"I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta, yeah, yeah, yeah, yeah)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, grra-ta-ta-ta-ta)",Post Malone|||​​rockstar|||0,5,annoyance,anger,amusement,"[{'label': 'neutral', 'score': 0.7368612885475159}, {'label': 'annoyance', 'score': 0.08062335848808289}, {'label': 'anger', 'score': 0.03990008682012558}, {'label': 'amusement', 'score': 0.02792435884475708}, {'label': 'excitement', 'score': 0.02662218175828457}, {'label': 'approval', 'score': 0.021851304918527603}]"
Post Malone|||​​rockstar|||0|||6,Post Malone,​​rockstar,"Star, star, rockstar, rockstar, star
Rockstar
Rockstar, feel just like a–
Rockstar
Rockstar
Rockstar
Feel just like a…
<\Lyric>```",Post Malone|||​​rockstar|||0,6,approval,realization,annoyance,"[{'label': 'neutral', 'score': 0.9613181352615356}, {'label': 'approval', 'score': 0.02218366414308548}, {'label': 'realization', 'score': 0.008366033434867859}, {'label': 'annoyance', 'score': 0.00614852923899889}, {'label': 'admiration', 'score': 0.004613590892404318}, {'label': 'disapproval', 'score': 0.0026512800250202417}]"
Post Malone|||White Iverson|||1|||0,Post Malone,White Iverson,"```
<Artist name> Post Malone <\Artist>
<Song title> White Iverson <\Song title>
<Lyric> 
Double OT
I'm a new three",Post Malone|||White Iverson|||1,0,approval,realization,annoyance,"[{'label': 'neutral', 'score': 0.9488993287086487}, {'label': 'approval', 'score': 0.018064003437757492}, {'label': 'realization', 'score': 0.014172839000821114}, {'label': 'annoyance', 'score': 0.00696624256670475}, {'label': 'excitement', 'score': 0.005864862818270922}, {'label': 'admiration', 'score': 0.003820574376732111}]"
Post Malone|||White Iverson|||1|||1,Post Malone,White Iverson,"Saucin', saucin', I'm saucin' on you
I'm swaggin', I'm swaggin', I'm swaggin', oh-ooh (Swaggin')
I'm ballin', I'm ballin', Iverson on you (Swish, ooh, ayy)
Watch out, watch out, watch out, yeah
That's my shot, that's my shot, that's my shot, yeah
Spendin', I'm spendin' all my fuckin' pay",Post Malone|||White Iverson|||1,1,annoyance,anger,approval,"[{'label': 'neutral', 'score': 0.6508722901344299}, {'label': 'annoyance', 'score': 0.07689022272825241}, {'label': 'anger', 'score': 0.06479570269584656}, {'label': 'approval', 'score': 0.06122022122144699}, {'label': 'excitement', 'score': 0.04237920790910721}, {'label': 'joy', 'score': 0.013411075808107853}]"
Post Malone|||White Iverson|||1|||2,Post Malone,White Iverson,"I got me some braids and I got me some hoes
Started rockin' the sleeve, I can't ball with no Joes
You know how I do it, Concords on my toes
(This shit is hard) Oh
I ain't rich yet, but you know I ain't broke, ah
So if I see it, I like it, buy that from the store, ah (Store, ah)
I'm with some white girls and they love them the coca (Coca)
Like they OT
Double OT like I'm KD, smokin' OG (Smokin' OG)
And you know me, in my 2-3s and my gold teeth (And my gold teeth)
Bitch, I'm smiling, bet you see me from the nosebleeds (Nosebleeds)
I'm the new three and I change out to my new 3s (To my new 3s)",Post Malone|||White Iverson|||1,2,love,approval,joy,"[{'label': 'love', 'score': 0.5468284487724304}, {'label': 'neutral', 'score': 0.25013530254364014}, {'label': 'approval', 'score': 0.11439505964517593}, {'label': 'joy', 'score': 0.10960481315851212}, {'label': 'amusement', 'score': 0.022774389013648033}, {'label': 'annoyance', 'score': 0.018641622737050056}]"
